# name	slug
Ostomía	primeros-auxilios
Óticos	medicamentos
Oto-oftalmoscopio	equipo-medico
Otomanos	muebles
OTRAS CARNES	carnes-pescados-embutidos
Otras mascotas	otras-mascotas
Otros	-
Otros deportes	disciplinas-deportivas
Otros desechables	desechables
Otros Juegos y Accesorios	juegos-de-mesa-rompecabezas
Otros licores	cervezas-vinos-licores
OUTLET	liquidacion
Over Ear	audio
Overoles,Capotes	seguridad-industrial
Oxigeno	equipo-medico
Padel	disciplinas-deportivas
Pajillas	desechables
Palas	jardin-exteriores
Palillos y Pajillas	desechables
Palomitas	snacks-botanas-galletas
Palomitas de maíz	snacks-botanas-galletas
Palos para selfies	accesorios-celular
Pan de maíz	panaderia-reposteria
Pan de sandwich	panaderia-reposteria
Pan Dulce	panaderia-reposteria
Pan Europeo y Rústico	panaderia-reposteria
Pan Hamburguesa	panaderia-reposteria
Pan Hot Dog	panaderia-reposteria
Pan molde	panaderia-reposteria
Pan pita	panaderia-reposteria
Pan Salado	panaderia-reposteria
Pan tostado	panaderia-reposteria
Pan y Tortillas Empacados	panaderia-reposteria
Panaderia Y Reposteria	panaderia-reposteria
Panaderia y Tortillas	panaderia-reposteria
Panadería y tortillería	panaderia-reposteria
Pañaleras	puericultura-coches-sillas
Pañaleros	ropa-bebe
Pañales	panales-toallitas-humedas
Pañales - Etapa 2	panales-toallitas-humedas
Pañales - Etapa 3	panales-toallitas-humedas
Pañales - Etapa 4	panales-toallitas-humedas
Pañales - Etapa 5	panales-toallitas-humedas
Pañales - Etapa 6	panales-toallitas-humedas
Pañales - Etapa 7	panales-toallitas-humedas
PAÑALES DE ADULTO	cuidado-adulto
PAÑALES DE NIÑOS	panales-toallitas-humedas
Pañales para adultos	cuidado-adulto
Pañales Recién Nacido y Etapa 1	panales-toallitas-humedas
Panecillos, rollos y pan estilo francés	panaderia-reposteria
Paneles Solares	energia-respaldo
Panes para hamburguesas y para hot-dogs	panaderia-reposteria
Panes y tortillas	panaderia-reposteria
Paños de entrenamiento	juguetes-accesorios-mascotas
Pantallas	tv-video
Pantalones para hombres	ropa-masculina
Pantalones para mujeres	ropa-femenina
Pantuflas para hombre	calzado-masculino
Pañuelos desechables	papel-higienico-servilletas
Pañuelos faciales	papel-higienico-servilletas
Papas Congeladas	congelados
Papas Enteras	verduras-hortalizas
Papas fritas	snacks-botanas-galletas
Papas y frituras	snacks-botanas-galletas
Papayas y tropicales	frutas-frescas
Papel	cuadernos-libretas-hojas
Papel aluminio y adherente	desechables
Papel Arte y Diseño	arte-manualidades
Papel bond	cuadernos-libretas-hojas
Papel Celofan	arte-manualidades
Papel china (seda)	arte-manualidades
Papel Construccion	arte-manualidades
